import time: self [us] | cumulative | imported package
import time:      1285 |      20782 |                         pandas._libs.tslibs.timedeltas
import time:      1064 |       1064 |                         pandas._libs.tslibs.tzconversion
import time:       393 |        393 |                         backports_abc
import time:      1209 |      24127 |                       pandas._libs.tslibs.timestamps
import time:       387 |        387 |                       backports_abc
import time:       617 |        617 |                       pandas._libs.properties
import time:      1999 |      27128 |                     pandas._libs.tslibs.offsets
import time:       425 |        425 |                       backports_abc
import time:        56 |         56 |                             _string
import time:      1215 |       1270 |                           string
import time:       375 |        375 |                           dateutil._common
import time:      2261 |       3905 |                         dateutil.parser._parser
import time:       552 |        552 |                         dateutil.parser.isoparser
import time:       778 |       5234 |                       dateutil.parser
import time:      1347 |       1347 |                       pandas._libs.tslibs.strptime
import time:       992 |       7997 |                     pandas._libs.tslibs.parsing
import time:       896 |      36574 |                   pandas._libs.tslibs.conversion
import time:      1007 |       1007 |                   pandas._libs.tslibs.period
import time:       959 |        959 |                   pandas._libs.tslibs.vectorized
import time:       770 |      42641 |                 pandas._libs.tslibs
import time:        35 |      42676 |               pandas._libs.tslibs.nattype
import time:      1210 |       1210 |               pandas._libs.ops_dispatch
import time:      1067 |      44953 |             pandas._libs.missing
import time:      1521 |      46473 |           pandas._libs.hashtable
import time:      1929 |       1929 |           pandas._libs.algos
import time:      1002 |      49404 |         pandas._libs.interval
import time:       608 |      51487 |       pandas._libs
import time:       780 |        780 |         pandas.core.dtypes
import time:      1557 |       1557 |         pandas._libs.lib
import time:      1211 |       1211 |         pandas.errors
import time:       830 |        830 |           pandas.core.dtypes.generic
import time:       970 |       1799 |         pandas.core.dtypes.base
import time:       593 |        593 |         pandas.core.dtypes.inference
import time:      2219 |       8157 |       pandas.core.dtypes.dtypes
import time:       624 |        624 |         pandas.core.dtypes.common
import time:       659 |       1282 |       pandas.core.dtypes.missing
import time:       953 |        953 |         pandas.util._decorators
import time:       611 |        611 |             pandas.io
import time:       737 |       1347 |           pandas.io._util
import time:      1329 |       2675 |         pandas.core.dtypes.cast
import time:       513 |        513 |           pandas.core.dtypes.astype
import time:       575 |       1088 |         pandas.core.dtypes.concat
import time:       454 |        454 |           pandas.core.array_algos
import time:      2959 |       2959 |               numpy.ma.core
import time:      1348 |       1348 |               numpy.ma.extras
import time:       621 |       4927 |             numpy.ma
import time:      1408 |       1408 |             pandas.core.common
import time:       675 |       7008 |           pandas.core.construction
import time:       737 |       8198 |         pandas.core.array_algos.take
import time:       764 |        764 |           pandas.core.indexers.utils
import time:       550 |       1314 |         pandas.core.indexers
import time:       953 |      15179 |       pandas.core.algorithms
import time:      5030 |       5030 |               pyarrow._compute
import time:       910 |        910 |               pyarrow._compute_docstrings
import time:       674 |        674 |               pyarrow.vendored
import time:       924 |        924 |                   pkgutil
import time:       814 |        814 |                     urllib
import time:      1381 |       1381 |                     ipaddress
import time:      1713 |       3907 |                   urllib.parse
import time:      1122 |       1122 |                   traceback
import time:      2683 |       8635 |                 pydoc
import time:       617 |        617 |                 copy
import time:      1942 |      11193 |               pyarrow.vendored.docscrape
import time:     17275 |      35079 |             pyarrow.compute
import time:       834 |      35913 |           pandas.core.arrays.arrow.accessors
import time:      1615 |       1615 |             unicodedata
import time:       889 |        889 |             pandas.util._validators
import time:       796 |        796 |             pandas.core.missing
import time:       948 |        948 |                 pandas._libs.ops
import time:       595 |        595 |                 pandas.core.roperator
import time:       578 |        578 |                 pandas.core.computation
import time:      1092 |       1092 |                   pandas.core.computation.check
import time:       925 |       2016 |                 pandas.core.computation.expressions
import time:       427 |        427 |                 pandas.core.ops.missing
import time:       393 |        393 |                 pandas.core.ops.dispatch
import time:       411 |        411 |                 pandas.core.ops.invalid
import time:       767 |       6132 |               pandas.core.ops.array_ops
import time:       397 |        397 |               pandas.core.ops.common
import time:       412 |        412 |               pandas.core.ops.docstrings
import time:       396 |        396 |               pandas.core.ops.mask_ops
import time:       637 |       7971 |             pandas.core.ops
import time:       595 |        595 |             pandas.core.arraylike
import time:       399 |        399 |             pandas.core.arrays._arrow_string_mixins
import time:       433 |        433 |             pandas.core.arrays._utils
import time:       584 |        584 |               pandas.compat.numpy.function
import time:       357 |        357 |               pandas.core.array_algos.quantile
