import time: self [us] | cumulative | imported package
import time:       356 |        356 |         scipy.integrate.dop
import time:       384 |        384 |         scipy.integrate.lsoda
import time:       396 |        396 |         scipy.integrate.vode
import time:       445 |        445 |         scipy.integrate.odepack
import time:       385 |        385 |         scipy.integrate.quadpack
import time:       383 |        383 |         scipy._lib._finite_differences
import time:       357 |        357 |         scipy.stats._constants
import time:       816 |        816 |         scipy.stats._censored_data
import time:      2254 |      24998 |       scipy.stats._distn_infrastructure
import time:       536 |        536 |                 scipy.interpolate._fitpack
import time:       430 |        430 |                 scipy.interpolate._dfitpack
import time:       530 |       1495 |               scipy.interpolate._fitpack_impl
import time:       420 |        420 |                 scipy.interpolate._dierckx
import time:       701 |       1120 |               scipy.interpolate._bsplines
import time:       534 |       3149 |             scipy.interpolate._fitpack_py
import time:       558 |        558 |             scipy.interpolate._polyint
import time:       505 |        505 |             scipy.interpolate._ppoly
import time:       570 |        570 |             scipy.interpolate._interpnd
import time:      1359 |       6139 |           scipy.interpolate._interpolate
import time:       867 |        867 |           scipy.interpolate._fitpack2
import time:       541 |        541 |           scipy.interpolate._rbf
import time:       468 |        468 |             scipy.interpolate._rbfinterp_pythran
import time:       512 |        979 |           scipy.interpolate._rbfinterp
import time:       596 |        596 |           scipy.interpolate._cubic
import time:       431 |        431 |           scipy.interpolate._ndgriddata
import time:       589 |        589 |           scipy.interpolate._fitpack_repro
import time:       392 |        392 |           scipy.interpolate._pade
import time:       720 |        720 |             scipy.interpolate._rgi_cython
import time:       555 |        555 |               scipy.interpolate._bspl
import time:       535 |       1090 |             scipy.interpolate._ndbspline
import time:       522 |       2331 |           scipy.interpolate._rgi
import time:       504 |        504 |           scipy.interpolate._bary_rational
import time:       308 |        308 |           scipy.interpolate.fitpack
import time:       303 |        303 |           scipy.interpolate.fitpack2
import time:       316 |        316 |           scipy.interpolate.interpolate
import time:       288 |        288 |           scipy.interpolate.ndgriddata
import time:       296 |        296 |           scipy.interpolate.polyint
import time:       309 |        309 |           scipy.interpolate.rbf
import time:       294 |        294 |           scipy.interpolate.interpnd
import time:       831 |      16307 |         scipy.interpolate
import time:      1158 |       1158 |           scipy.special.cython_special
import time:       578 |       1736 |         scipy.stats._stats
import time:       685 |        685 |         scipy.stats._tukeylambda_stats
import time:       484 |        484 |           scipy.optimize._bracket
import time:       666 |        666 |           scipy.optimize._chandrupatla
import time:      1007 |       1007 |           scipy.stats._probability_distribution
import time:       508 |        508 |               scipy.stats._sobol
import time:       555 |        555 |               scipy.stats._qmc_cy
import time:      1304 |       2367 |             scipy.stats._qmc
import time:       729 |       3095 |           scipy.stats.qmc
import time:      2003 |       7253 |         scipy.stats._distribution_infrastructure
import time:       594 |        594 |         scipy.stats._ksstats
import time:     40611 |      67184 |       scipy.stats._continuous_distns
import time:       744 |        744 |         scipy.stats._biasedurn
import time:       581 |        581 |         scipy.stats._stats_pythran
import time:      9155 |      10479 |       scipy.stats._discrete_distns
import time:       656 |        656 |         scipy.stats._levy_stable.levyst
import time:      2311 |       2966 |       scipy.stats._levy_stable
import time:       751 |        751 |         scipy.stats._axis_nan_policy
import time:      1526 |       2277 |       scipy.stats._entropy
import time:       582 |     108485 |     scipy.stats.distributions
import time:       830 |        830 |       scipy._lib._bunch
import time:      1185 |       1185 |       scipy.stats._stats_mstats_common
import time:      3105 |       5118 |     scipy.stats._mstats_basic
import time:       602 |        602 |       scipy.stats._common
import time:      2729 |       3330 |     scipy.stats._hypotests
import time:      4690 |       4690 |     scipy.stats._resampling
import time:       670 |        670 |     scipy.stats._binomtest
import time:     18319 |     473720 |   scipy.stats._stats_py
import time:      1604 |       1604 |   scipy.stats._variation
import time:       634 |        634 |     scipy.stats._ansari_swilk_statistics
import time:       642 |        642 |     scipy.stats._wilcoxon
import time:      1779 |       1779 |     scipy.stats._fit
import time:       767 |        767 |       scipy.stats._relative_risk
import time:       645 |        645 |       scipy.stats._crosstab
import time:       601 |        601 |       scipy.stats._odds_ratio
import time:       752 |       2764 |     scipy.stats.contingency
import time:      7411 |      13229 |   scipy.stats._morestats
import time:      1163 |       1163 |   scipy.stats._multicomp
import time:       649 |        649 |   scipy.stats._binned_statistic
import time:       456 |        456 |     scipy.stats._mvn
import time:       532 |        987 |   scipy.stats._kde
import time:       753 |        753 |     scipy.stats._mstats_extras
import time:       495 |       1247 |   scipy.stats.mstats
import time:       569 |        569 |     scipy.stats._covariance
import time:       664 |        664 |       scipy.stats._rcont.rcont
import time:       523 |       1187 |     scipy.stats._rcont
import time:       547 |        547 |     scipy.stats._qmvnt
import time:      3210 |       5512 |   scipy.stats._multivariate
import time:       952 |        952 |   scipy.stats._page_trend_test
import time:      1346 |       1346 |   scipy.stats._mannwhitneyu
import time:       466 |        466 |   scipy.stats._bws_test
import time:      1161 |       1161 |   scipy.stats._sensitivity_analysis
import time:      1912 |       1912 |   scipy.stats._survival
import time:      5593 |       5593 |   scipy.stats._new_distributions
import time:       649 |        649 |             scipy.ndimage._ni_support
import time:       892 |        892 |             scipy.ndimage._nd_image
import time:       809 |        809 |             scipy.ndimage._ni_docstrings
import time:       520 |        520 |             scipy.ndimage._rank_filter_1d
import time:      1961 |       4829 |           scipy.ndimage._filters
import time:       596 |        596 |           scipy.ndimage._fourier
import time:      1097 |       1097 |           scipy.ndimage._interpolation
import time:       564 |        564 |             scipy.ndimage._ni_label
import time:       696 |        696 |             scipy.ndimage._morphology
import time:       637 |       1897 |           scipy.ndimage._measurements
import time:       504 |       8921 |         scipy.ndimage._ndimage_api
import time:       448 |        448 |         scipy.ndimage._delegators
import time:       710 |      10078 |       scipy.ndimage._support_alternative_backends
import time:       364 |        364 |       scipy.ndimage.filters
import time:       318 |        318 |       scipy.ndimage.fourier
import time:       314 |        314 |       scipy.ndimage.interpolation
import time:       516 |        516 |       scipy.ndimage.measurements
import time:       828 |        828 |       scipy.ndimage.morphology
import time:       994 |      13410 |     scipy.ndimage
import time:      1303 |      14713 |   scipy.stats._mgc
import time:      1315 |       1315 |   scipy.stats._correlation
import time:       422 |        422 |   scipy.stats.biasedurn
import time:       418 |        418 |   scipy.stats.kde
import time:       675 |        675 |   scipy.stats.morestats
import time:       727 |        727 |   scipy.stats.mstats_basic
import time:       359 |        359 |   scipy.stats.mstats_extras
import time:       358 |        358 |   scipy.stats.mvn
import time:       444 |        444 |   scipy.stats.stats
import time:       999 |     536792 | scipy.stats
import time:       768 |        768 | hsim.core.des.manual
import time:       638 |        638 |   hsim.core.des.assembly
import time:      1642 |       2279 | hsim.core.des.resources
